Unnamed: 0,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Temperature_C
251,Assam,BAKSA,2012,Kharif     ,Tapioca,240.0,2156.0,27.9
252,Assam,BAKSA,2012,Kharif     ,Tobacco,7.0,3.0,22.6
253,Assam,BAKSA,2012,Rabi       ,Arecanut,2500.0,2036.0,26.2
254,Assam,BAKSA,2012,Rabi       ,Black pepper,85.0,151.0,22.4
255,Assam,BAKSA,2012,Rabi       ,Dry chillies,750.0,443.0,20.0
256,Assam,BAKSA,2012,Rabi       ,Ginger,600.0,4797.0,22.6
257,Assam,BAKSA,2012,Rabi       ,Gram,72.0,35.0,20.0
258,Assam,BAKSA,2012,Rabi       ,Linseed,480.0,306.0,21.0
259,Assam,BAKSA,2012,Rabi       ,Masoor,2267.0,973.0,21.2
260,Assam,BAKSA,2012,Rabi       ,Moong(Green Gram),288.0,155.0,26.3
261,Assam,BAKSA,2012,Rabi       ,Peas & beans (Pulses),1299.0,1069.0,22.6
262,Assam,BAKSA,2012,Rabi       ,Pineapple,285.0,4949.0,25.4
263,Assam,BAKSA,2012,Rabi       ,Rapeseed &Mustard,10200.0,5361.0,27.2
264,Assam,BAKSA,2012,Rabi       ,Sweet potato,110.0,745.0,27.7
265,Assam,BAKSA,2012,Rabi       ,Urad,2124.0,1109.0,21.1
266,Assam,BAKSA,2012,Rabi       ,Wheat,280.0,280.0,29.0
267,Assam,BAKSA,2012,Summer     ,Rice,2520.0,6137.0,25.8
268,Assam,BAKSA,2012,Whole Year ,Banana,695.0,11495.0,28.0
269,Assam,BAKSA,2012,Whole Year ,Coconut ,550.0,3394.0,29.5
270,Assam,BAKSA,2012,Whole Year ,Onion,205.0,667.0,30.0
271,Assam,BAKSA,2012,Whole Year ,Potato,4200.0,32759.0,26.2
272,Assam,BAKSA,2012,Whole Year ,Sugarcane,305.0,6400.0,20.5
273,Assam,BAKSA,2012,Whole Year ,Turmeric,752.0,948.0,22.6
274,Assam,BAKSA,2012,Winter     ,Paddy,85485.0,157009.0,14.3
275,Assam,BAKSA,2012,Winter     ,Rice,85485.0,157009.0,19.6
276,Assam,BAKSA,2013,Autumn     ,Paddy,10200.0,16672.0,20.0
